"Country ofNationality","Arrivals(in numbers)","1st quarter(Jan-March)","2nd quarter(Apr-June)","3rd quarter(July-Sep)","4th quarter(Oct-Dec)",2.4 MODE OF TRAVEL OF FTAs IN INDIA,Table Name,YEAR,ARRIVELS,Gender Distribution (%),Unnamed: 0,Unnamed: 1,Country of Nationality,Total (In Numbers),Female,Male,"Total (InNumber)",0-14,15-24,25-34,35-44,45-54,55-64,"65 AndAbove",2.8 FTAs IN INDIA ACCORDING TO PURPOSE,"Arrivals(innumbers)","BusinessandProfessional","IndianDiaspora","LeisureHolidayandRecreation",Medical,Student,Others,"Businessandrofessional",Purpose,Visa Type,2.9       AVERAGE DURATION OF STAY OF FOREIGN TOURIST ARRIVALS IN INDIA,Total (in numbers),"Average Durationof stay (in days)","Total (innumbers)","0-1Days","2-3Days","4-7Days","1-2Weeks","2-4Weeks",">1Month","NotKnown",2.10 TOP 15 SOURCE COUNTRIES FOR FTAs IN INDIA,Rank,Country,"FTAs inIndia in2020","%Sharein 2020",Rank.1,Country.1,"FTAs inIndia in2021","%Sharein 2021"
,,,,,,,Table 2.6.2,,,,,,Total,52174,30.7,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Afghanistan,36451,29.2,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Bangladesh,240554,33.5,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Bhutan,6081,45.7,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Iran,2369,45.7,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Maldives,26571,49.1,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Nepal,52544,37.3,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Pakistan,8163,9.8,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Sri Lanka,25989,35.7,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Total,398722,34.6,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,South East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Indonesia,2105,32.1,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Malaysia,6628,37.6,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Myanmar,3013,39.8,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Phillippines,6927,30.2,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Singapore,13407,45.5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Thailand,4668,59.4,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Vietnam,1104,32.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Others,622,46.9,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Total,38474,41.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,China,3502,16.7,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Japan,15358,29.5,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Korea (Republic Of),13330,27.7,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Others,1572,30.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Total,33762,27.5,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Australasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Australia,33864,41.6,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,New Zealand,4497,39.8,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Others,504,37.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,"TotalNon-Classified Elsewhere","388657","41.328.6","58.771.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.6.2,,,,,,Grand Total,1527114,40.3,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Canada,,,,80437.0,23.1,4.3,11.1,16.5,19.6,12.9,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,United States Of America,,,,429860.0,19.7,6.6,7.6,13.7,26.3,16.8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,510299.0,20.2,6.3,8.1,14.1,25.2,16.2,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Central And South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Argentina,,,,530.0,9.8,14.9,26.6,24.9,14.0,6.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Brazil,,,,2055.0,8.3,10.5,26.1,29.4,16.0,7.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Mexico,,,,859.0,16.3,4.4,28.1,22.7,18.6,8.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,3354.0,13.3,8.2,21.9,22.5,19.1,11.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,6798.0,11.9,9.0,24.3,24.8,17.7,9.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Austria,,,,4411.0,8.1,8.3,16.0,15.3,24.3,20.8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Belgium,,,,7382.0,18.1,8.5,14.0,20.0,22.0,13.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Denmark,,,,2025.0,11.7,5.9,13.9,19.9,26.1,17.2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Finland,,,,1329.0,18.4,4.4,15.3,25.9,20.8,12.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,France,,,,30374.0,9.3,6.1,14.0,19.7,29.9,15.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Germany,,,,33772.0,13.6,5.6,18.3,22.0,21.1,14.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Greece,,,,1144.0,6.6,6.2,14.0,21.5,26.2,21.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Ireland,,,,7600.0,25.2,5.8,8.0,29.2,22.1,8.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Italy,,,,13659.0,13.8,8.9,13.8,17.3,27.3,15.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Netherlands,,,,15631.0,10.5,4.2,14.0,24.7,28.1,15.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Norway,,,,2790.0,15.6,5.7,11.3,25.4,19.6,14.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Portugal,,,,32064.0,6.2,9.8,27.0,23.2,18.9,10.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Spain,,,,6982.0,13.0,5.5,16.7,23.6,25.6,12.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Sweden,,,,5579.0,21.2,4.6,13.6,30.0,17.0,9.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Switzerland,,,,4198.0,7.9,6.8,13.9,15.9,22.7,22.8,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,United Kingdom,,,,164143.0,18.7,5.4,9.1,25.5,22.4,11.7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,1767.0,5.3,6.0,30.0,26.5,19.1,10.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,334850.0,15.2,6.1,13.3,23.7,23.1,12.8,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Czech,,,,983.0,8.2,5.0,26.1,28.5,24.1,7.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Hungury,,,,653.0,6.4,8.1,26.8,26.2,21.9,8.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Kazakhstan,,,,2378.0,15.0,7.7,25.9,27.5,13.3,8.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Poland,,,,2461.0,5.9,7.3,31.0,27.9,16.1,9.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Russian Federation,,,,17567.0,6.6,3.9,24.0,29.8,23.4,11.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Ukraine,,,,5197.0,6.5,4.6,27.8,30.1,18.1,10.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,13875.0,4.1,10.4,30.5,25.1,18.4,9.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,43114.0,6.5,6.3,28.8,28.5,17.7,10.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Egypt,,,,1739.0,4.5,5.4,34.0,33.5,16.4,5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Kenya,,,,13373.0,7.9,8.8,18.3,21.9,21.0,14.7,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Mauritius,,,,2118.0,9.7,11.2,19.9,22.7,17.1,12.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Nigeria,,,,5516.0,4.5,27.1,25.1,22.7,11.4,7.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,South Africa,,,,3820.0,10.3,6.6,17.9,22.7,23.4,13.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Sudan,,,,6781.0,5.3,17.5,25.6,23.2,16.3,8.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Tanzania,,,,6480.0,5.5,24.0,17.8,16.4,16.1,12.4,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,29087.0,5.6,18.8,30.6,21.4,12.4,7.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,68914.0,6.3,16.6,25.1,21.7,15.6,9.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Bahrain,,,,1727.0,13.2,8.2,16.9,13.3,14.7,20.5,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Iraq,,,,16213.0,7.0,8.7,21.9,20.2,19.6,14.7,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Israel,,,,4601.0,7.0,5.9,13.1,22.3,28.2,17.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Oman,,,,10174.0,7.8,6.3,23.7,25.5,16.7,12.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Saudi Arabia,,,,1088.0,22.6,6.8,24.9,22.7,15.7,6.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Turkey,,,,3710.0,2.1,2.1,26.7,38.1,19.5,11.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,United Arab Emirates,,,,3927.0,10.0,8.1,17.7,19.6,15.2,17.6,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Yemen,,,,6235.0,8.4,14.8,22.9,24.2,14.1,9.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,4499.0,4.6,14.4,29.4,23.2,14.7,10.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,52174.0,7.5,8.6,22.2,23.2,18.1,13.5,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Afghanistan,,,,36451.0,9.4,18.9,30.8,19.8,10.3,7.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Bangladesh,,,,240554.0,6.2,9.6,19.5,27.0,21.0,12.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Bhutan,,,,6081.0,3.0,33.5,33.8,15.5,8.8,3.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Iran,,,,2369.0,5.3,11.3,27.7,28.2,15.1,8.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Maldives,,,,26571.0,11.9,7.9,21.8,22.3,17.5,12.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Nepal,,,,52544.0,3.0,22.9,31.5,19.6,12.7,7.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Pakistan,,,,8163.0,4.3,9.8,29.8,30.9,15.8,7.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Sri Lanka,,,,25989.0,3.2,7.7,21.5,22.6,25.0,15.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,398722.0,6.1,12.3,22.9,24.6,18.6,11.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,South East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Indonesia,,,,2105.0,5.8,9.2,27.6,26.8,20.2,6.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Malaysia,,,,6628.0,11.9,17.8,19.6,18.2,15.8,11.6,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Myanmar,,,,3013.0,3.4,12.6,33.2,22.2,15.2,9.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Phillippines,,,,6927.0,3.7,4.7,35.8,30.9,18.6,5.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Singapore,,,,13407.0,13.0,9.9,10.2,17.9,30.2,14.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Thailand,,,,4668.0,5.5,8.9,31.7,33.3,13.7,5.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Vietnam,,,,1104.0,2.4,8.2,41.0,28.3,14.1,5.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,622.0,2.3,13.0,35.7,24.8,10.9,9.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,38474.0,8.6,10.4,23.1,23.4,21.1,10.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,China,,,,3502.0,2.2,4.5,45.8,30.4,12.8,3.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Japan,,,,15358.0,5.0,2.7,19.9,24.4,31.4,14.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Korea(republic Of),,,,13330.0,13.8,4.7,12.0,30.2,28.0,10.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,1572.0,5.1,6.2,25.1,26.7,24.6,9.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,33762.0,8.2,3.8,19.7,27.4,27.8,11.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Australasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Australia,,,,33864.0,28.5,4.2,13.9,32.5,13.7,5.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,New Zealand,,,,4497.0,24.4,4.4,19.3,19.8,17.7,10.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Others,,,,504.0,5.0,9.7,21.0,21.8,23.0,15.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Total,,,,38865.0,27.7,4.3,14.6,30.9,14.3,6.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Not Classified Elsewhere,,,,7.0,,,28.6,14.3,0.0,14.3,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.7.2,,,,,,Grand Total,,,,1527114.0,13.6,8.4,15.8,21.0,21.8,13.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,80437.0,1.1,72.6,2.5,0.3,0.1,23.4,,,,,,,,,,,,,,,,,,,,,,,
"United Statesof America",,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,429860.0,3.3,60.1,7.5,0.5,0.1,28.6,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,510299.0,3.0,62.0,6.7,0.4,0.1,27.8,,,,,,,,,,,,,,,,,,,,,,,
Central and South America,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,530.0,63.1,21.2,8.3,1.4,1.6,4.5,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2055.0,68.9,11.3,7.9,0.4,2.3,9.1,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,859.0,47.2,26.6,15.3,0.4,2.9,7.6,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,3354.0,30.0,31.0,12.3,3.4,2.5,20.9,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6798.0,46.5,23.7,11.1,1.9,2.4,14.3,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,4411.0,25.5,48.1,3.8,0.7,0.4,21.4,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,7382.0,14.0,49.2,3.8,0.5,0.1,32.4,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2025.0,45.6,32.1,7.0,1.4,1.4,12.5,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1329.0,23.3,38.0,8.1,1.7,0.6,28.2,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,30374.0,32.2,39.8,7.9,0.6,1.2,18.4,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,33772.0,24.5,49.7,7.5,0.9,0.5,16.9,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1144.0,61.2,15.0,6.8,0.4,0.4,16.2,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,7600.0,5.5,70.7,3.5,0.5,0.1,19.6,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,13659.0,21.6,61.8,3.3,0.5,0.4,12.5,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,15631.0,17.6,49.7,7.9,1.2,0.2,23.4,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2790.0,11.6,57.0,7.3,1.4,1.5,21.2,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,32064.0,18.6,38.4,2.2,0.1,0.0,40.7,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6982.0,40.3,36.6,5.7,0.4,1.1,15.9,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,5579.0,13.9,49.9,6.0,1.1,0.3,28.9,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,4198.0,20.5,47.7,9.2,4.2,1.3,17.0,,,,,,,,,,,,,,,,,,,,,,,
"UnitedKingdom",,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,164143.0,3.6,59.2,3.3,0.4,0.1,33.4,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1767.0,48.3,24.8,10.1,2.5,1.4,12.9,,,,,,,,,,,,,,,,,,,,,,,
